component,explained_variance_ratio,cumulative_explained_variance
embedding_pca_01,0.08577291,0.08577291
embedding_pca_02,0.057163406,0.14293632
embedding_pca_03,0.03778406,0.18072037
embedding_pca_04,0.03479306,0.21551344
embedding_pca_05,0.03330136,0.24881479
embedding_pca_06,0.030947274,0.27976206
embedding_pca_07,0.02855868,0.30832073
embedding_pca_08,0.025220478,0.3335412
embedding_pca_09,0.020629236,0.35417044
embedding_pca_10,0.01921559,0.37338603
embedding_pca_11,0.018709807,0.39209583
embedding_pca_12,0.017377445,0.40947327
embedding_pca_13,0.015941916,0.4254152
embedding_pca_14,0.014234007,0.4396492
embedding_pca_15,0.013816752,0.45346594
embedding_pca_16,0.012994207,0.46646014
embedding_pca_17,0.011934543,0.4783947
embedding_pca_18,0.011521955,0.48991665
embedding_pca_19,0.011146871,0.5010635
embedding_pca_20,0.010785749,0.5118493
embedding_pca_21,0.010435948,0.5222852
embedding_pca_22,0.010136012,0.53242123
embedding_pca_23,0.009578834,0.54200006
embedding_pca_24,0.009478217,0.55147827
embedding_pca_25,0.008780881,0.56025916
embedding_pca_26,0.00852384,0.568783
embedding_pca_27,0.008417977,0.57720095
embedding_pca_28,0.008239864,0.5854408
embedding_pca_29,0.007946936,0.5933877
embedding_pca_30,0.0075592524,0.60094696
embedding_pca_31,0.007454253,0.60840124
embedding_pca_32,0.0073923394,0.6157936
